,id,scaled_skl,scaled_rp,scaled_rh,bpm,scaled_bh,scaled_mfcc,key,scale,scaled_levenshtein,scaled_corr,scaled_js,aggregated
3340,/root/sim/music/801~900/812_The_cloudsmp3,0.002614913720916293,0.49912820420290377,0.3504826178492377, 119.98008728027344,0.6155675110013953,0.17261368261111587, F, major,0.15146239554317548,0.9530423278103364,0.2862226523888557,0.28461209704047835
3341,/root/sim/music/301~400/379_揺らぐ木立mp3,0.003514552853111231,0.34206735492123064,0.4314410736601705, 120.01052856445312,0.6198445851668992,0.16770965243757852, G, major,0.1469359331476323,0.9292565394807827,0.3618239866639111,0.28471174202460586
3342,/root/sim/music/out/Compilations/20th_ANNIVERSARY_OF_PERSONA_SERIES_ALL_T/1-16_Dungeon_-_SEBEC_Above_Groundmp3,0.0006691038490336161,0.41962267290566524,0.5843994418261975, 138.14682006835938,0.7443387893098636,0.07285486847216827, G, major,0.14937325905292478,0.959962492290009,0.13428829638894216,0.28474487874245963
3343,/root/sim/music/901~1000/974_MS_Citymp3,0.0011030262234730287,0.4223554424837309,0.5035859275190061, 115.00756072998047,0.8856587957497049,0.03666421870348975, F#, minor,0.16573816155988857,0.9797415164704546,0.2127633845051242,0.28495194518283357
3344,/root/sim/music/601~700/677_Candy_Bassmp3,0.0009969650186506804,0.4900822577476253,0.46013189383011766, 139.87403869628906,0.8344135987978963,0.05184860109783108, G, major,0.14658774373259054,0.9439115404191764,0.18861877200330704,0.2849574721499252
3345,/root/sim/music/out/Compilations/20th_ANNIVERSARY_OF_PERSONA_SERIES_ALL_T/4-11_Heartbeat_Heartbreakmp3,0.0006612959660820892,0.5356226368189126,0.46982647819765805, 99.99002838134766,0.7938952989159601,0.03418321748339716, C, minor,0.15633704735376044,0.9591161332782537,0.13498719304194984,0.28527440100615065
3346,/root/sim/music/801~900/848_月は無慈悲な夜の女王mp3,0.004973547671607862,0.33671528855368305,0.545013928320235, 99.98247528076172,0.7916241816035204,0.12135134714703504, G, major,0.15424791086350975,0.9542391403620124,0.2550552031974459,0.2854394919357429
3347,/root/sim/music/out/The_Jesus_And_Mary_Chain/Darklands/10_About_Yoump3,0.001187827696184653,0.3552532037016989,0.6143851651090667, 105.9427261352539,0.6990770097670924,0.12699357117991614, D, major,0.1472841225626741,0.9549750936111548,0.1710977143353591,0.28548097771057734
3348,/root/sim/music/out/Compilations/20th_ANNIVERSARY_OF_PERSONA_SERIES_ALL_T/1-29_Retrospection_-_Setting_Offmp3,0.0007024632075238134,0.3656086732504942,0.629037143474543, 153.86300659179688,0.6559323816679189,0.05782297137533277, C, minor,0.1873259052924791,0.9416056687320334,0.14658126957568393,0.2854823873770612
3349,/root/sim/music/501~600/545_Bright_Green_Windsmp3,0.0015576825905817917,0.40950319568242055,0.5054520336388536, 119.99756622314453,0.625404905012343,0.1813785574822536, C#, major,0.16016713091922005,0.9097846436462496,0.2256044074902332,0.28552932985052226
